,Tense : ['Pres'],Mood : ['Imp'],ratio_stem,POS : NOUN,Person : [],POS : AUX,nb_phrase,POS : SPACE,Tense : ['Fut'],sect 4,POS : PROPN,sect 1,POS : DET,Number : [],n_stop,Mood : ['Ind'],POS : VERB,mean_par,POS : PRON,Person : ['3'],Mood : ['Cnd'],VerbForm : ['Inf'],POS : X,Person : ['1'],Tense : [],n_par,Mood : [],ratio_stop,POS : ADP,Gender : [],lg_phrase,n_stem,POS : SCONJ,Gender : ['Fem'],n_pos,POS : PUNCT,Tense : ['Past'],sect 5,Voice : [],Person : ['2'],sect 0,POS : INTJ,Gender : ['Masc'],nb_mot,Mood : ['Sub'],POS : CCONJ,VerbForm : ['Part'],Tense : ['Imp'],sect 6,n_paragraphe,n_tok,ratio_tok,Number : ['Sing'],sect 2,punct,sect 3,POS : ADJ,Number : ['Plur'],POS : ADV,POS : SYM,POS : NUM,Voice : ['Pass'],VerbForm : ['Fin'],lab_y
latin,114,0,0.007773459189339256,0.24042198778456414,155,0.02109938922820655,135,0.0,2,0,0.021654636313159357,0,0.024430871737923375,52,1099,109,0.14880621876735148,0.1563659628918746,0.023320377568017768,108,2,27,0.01110494169905608,5,28,95,154,0.3790962400827872,0.03886729594669628,165,144.03703703703704,897,0.00277623542476402,32,14,0.01776790671848973,113,0,254,0,0,0.0,71,2899,3,0.004997223764575236,127,11,0,24,1015,0.35012073128665055,162,0,8.985185185185186,0,0.3325930038867296,54,0.08772903942254304,0.0,0.024430871737923375,14,114,2
portugais,81,0,0.009689922480620155,0.2797157622739018,162,0.02454780361757106,140,0.0012919896640826874,1,0,0.01614987080103359,0,0.02131782945736434,39,998,69,0.15180878552971577,0.14076500626264574,0.018733850129198967,73,3,22,0.003229974160206718,0,23,99,161,0.3922955974842767,0.03811369509043928,111,125.16428571428571,830,0.002583979328165375,36,15,0.005813953488372093,125,0,225,0,0,0.0,88,2544,2,0.0012919896640826874,139,5,0,15,948,0.37264150943396224,136,0,9.0,0,0.31266149870801035,60,0.07622739018087855,0.0,0.046511627906976744,10,74,2
russe,135,0,0.007056451612903226,0.23588709677419356,202,0.023689516129032258,173,0.0,9,0,0.012600806451612902,0,0.018145161290322582,55,1297,133,0.16985887096774194,0.17184897279289282,0.018649193548387098,127,0,33,0.00655241935483871,7,33,86,202,0.3953063090521183,0.03679435483870968,189,118.8092485549133,901,0.007056451612903226,49,14,0.026713709677419355,154,0,317,1,0,0.0,99,3281,2,0.0020161290322580645,169,6,0,11,1026,0.31270953977445903,230,0,6.601156069364162,0,0.3251008064516129,52,0.08669354838709678,0.0,0.03024193548387097,20,135,2
espagnol,120,0,0.006286484059272564,0.2415806017063314,263,0.022900763358778626,129,0.0,9,0,0.019308486753480018,0,0.026493039964077234,99,1162,109,0.1674898967220476,0.17268586593981997,0.03951504265828469,107,0,60,0.01122586439155815,3,60,150,263,0.3428740041310121,0.032330489447687474,208,176.70542635658916,1104,0.001796138302649304,54,14,0.05029187247418051,172,0,360,0,0,0.0,111,3389,1,0.001347103726986978,203,12,0,13,1247,0.36795514901150783,217,0,12.751937984496124,0,0.29815895823978444,57,0.07274360125729681,0.0,0.014818140996856757,13,110,2
tamoul,67,1,0.013537906137184115,0.25541516245487367,117,0.026173285198555957,75,0.0009025270758122744,1,0,0.01263537906137184,0,0.02075812274368231,31,706,56,0.16064981949458484,0.07260306616887759,0.016245487364620937,59,2,17,0.026173285198555957,1,17,48,117,0.3894098179812466,0.023465703971119134,90,152.97333333333333,623,0.0036101083032490976,29,15,0.009927797833935019,92,0,169,1,0,0.0,59,1813,2,0.0018050541516245488,100,1,0,20,725,0.3998896856039713,109,0,6.866666666666666,0,0.32581227436823107,38,0.09566787003610108,0.0,0.02075812274368231,9,61,2
langues indo-européennes,77,0,0.008225616921269096,0.2520564042303173,91,0.009400705052878966,50,0.0,2,0,0.05699177438307873,0,0.015863689776733254,25,404,70,0.10047003525264395,0.1168744889615699,0.01410105757931845,77,1,13,0.008225616921269096,3,13,63,91,0.2062276671771312,0.03525264394829612,104,343.22,889,0.0005875440658049354,26,14,0.07226792009400705,71,0,169,0,0,0.0,41,1959,9,0.0023501762632197414,78,8,0,19,982,0.5012761613067892,113,0,41.6,0,0.3501762632197415,33,0.0699177438307873,0.0,0.012338425381903642,2,80,2
loisir,31,0,0.02337228714524207,0.32053422370617696,57,0.018363939899833055,30,0.0,4,0,0.02671118530884808,0,0.018363939899833055,26,372,28,0.14691151919866444,0.08364506957953015,0.03672787979966611,29,2,19,0.035058430717863104,2,19,18,57,0.3831101956745623,0.035058430717863104,57,202.2,393,0.00667779632721202,11,14,0.041736227045075125,33,0,84,0,0,0.0,20,971,1,0.005008347245409015,38,1,0,3,461,0.4747682801235839,51,0,12.6,0,0.22036727879799667,11,0.06010016694490818,0.0,0.028380634390651086,4,31,2
jeu,331,0,0.0037955465587044533,0.32818825910931176,432,0.02353238866396761,312,0.0010121457489878543,10,0,0.00860323886639676,0,0.025809716599190284,233,2646,314,0.19154858299595143,0.03560113585693835,0.019483805668016194,319,5,178,0.01492914979757085,6,179,71,431,0.4012738853503185,0.03340080971659919,553,129.9551282051282,1689,0.006325910931174089,55,15,0.009615384615384616,212,0,731,0,0,0.0,149,6594,7,0.00354251012145749,253,25,0,17,1923,0.2916287534121929,369,0,6.6506410256410255,0,0.23228744939271256,155,0.0923582995951417,0.0,0.009362348178137652,26,326,2
jeu de société,182,1,0.005283018867924529,0.3347169811320755,305,0.02150943396226415,203,0.0,10,0,0.01169811320754717,0,0.026415094339622643,139,1851,176,0.18264150943396226,0.06809331933769004,0.012075471698113207,176,1,103,0.021132075471698115,2,103,56,305,0.41160773849232823,0.03660377358490566,315,133.6847290640394,1147,0.0037735849056603774,53,14,0.008679245283018867,179,0,466,1,0,0.0,116,4497,1,0.0026415094339622643,202,10,0,10,1338,0.29753168779186123,186,0,5.738916256157635,0,0.2381132075471698,159,0.0830188679245283,0.0,0.016981132075471698,18,179,2
jeu de cartes,24,0,0.041237113402061855,0.35051546391752575,36,0.013745704467353952,26,0.0,0,0,0.020618556701030927,0,0.027491408934707903,17,215,23,0.20618556701030927,0.12959433705417914,0.027491408934707903,24,0,14,0.024054982817869417,0,14,14,36,0.424901185770751,0.027491408934707903,39,120.26923076923077,183,0.0,9,12,0.006872852233676976,22,0,58,0,0,0.0,12,506,1,0.0,22,0,0,6,225,0.44466403162055335,30,0,8.346153846153847,0,0.22336769759450173,13,0.061855670103092786,0.0,0.010309278350515464,2,24,2
