,n_pos,Tense : ['Imp'],Mood : ['Cnd'],Number : ['Plur'],Number : ['Sing'],n_stem,nb_mot,ratio_stop,sect 4,Gender : ['Masc'],Mood : ['Imp'],sect 6,sect 5,ratio_tok,sect 0,lg_phrase,n_tok,VerbForm : ['Part'],Mood : [],Tense : [],Voice : ['Pass'],Number : [],Tense : ['Fut'],Mood : ['Sub'],Person : [],sect 3,n_stop,mean_par,Voice : [],nb_phrase,ratio_stem,sect 2,Gender : ['Fem'],punct,VerbForm : ['Inf'],VerbForm : ['Fin'],Person : ['3'],Person : ['2'],n_par,Tense : ['Pres'],Mood : ['Ind'],Person : ['1'],sect 1,Tense : ['Past'],Gender : []
Cyclone tropical,15,5,4,151,374,1612,6526,0.3976402083971805,0,182,0,0,0,0.2854734906527735,0,170.0983606557377,1863,342,437,96,27,141,3,8,438,0,2595,0.026622064255348805,639,244,0.0038148524923702952,0,119,4.282786885245901,95,229,226,0,53,253,217,2,0,309,365
Cyrus II,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Cécité,14,3,0,60,132,754,2465,0.4032454361054767,0,48,0,0,0,0.3537525354969574,0,157.57731958762886,872,94,127,33,19,45,1,2,127,0,994,0.03354991878045733,218,97,0.009510869565217392,0,34,3.0927835051546393,33,110,109,0,17,116,108,1,0,84,155
Céréale,14,11,3,109,199,1124,3618,0.3941404090657822,0,101,0,0,0,0.35185185185185186,0,143.26875,1273,186,246,60,19,79,7,2,246,0,1426,0.048769520071948326,368,160,0.006381039197812215,0,68,4.38125,60,141,140,0,77,135,136,1,0,174,218
Cœur,14,7,2,85,212,1110,3817,0.39717055279014934,0,80,0,0,0,0.3314121037463977,0,127.46153846153847,1265,182,247,65,17,99,10,2,247,0,1516,0.07303205927664881,379,195,0.0060790273556231,0,68,3.2615384615384615,65,149,149,0,59,164,145,0,0,150,248
Danse,14,3,0,32,79,647,1365,0.3311355311355311,0,25,0,0,0,0.5128205128205128,0,93.79381443298969,700,58,88,30,3,38,2,2,88,0,452,0.05909045074115156,146,97,0.015267175572519083,0,25,3.8556701030927836,30,61,59,0,19,64,59,2,0,50,99
Dante Alighieri,14,4,4,54,314,1508,4045,0.37601977750309024,0,147,0,0,0,0.40741656365883805,0,141.53631284916202,1648,231,293,62,11,84,9,6,293,0,1521,0.06060051263273526,441,179,0.005544554455445544,0,63,5.5027932960893855,62,159,155,0,56,159,149,4,0,218,242
David Hilbert,14,5,1,46,200,1096,3226,0.38778673279603226,0,78,0,0,0,0.38747675139491633,0,137.40522875816993,1250,145,219,74,15,107,8,1,219,0,1251,0.01187769684034705,338,153,0.007088607594936709,0,39,4.150326797385621,74,134,131,1,13,144,132,2,0,122,236
Dengue,14,10,6,105,343,1672,6304,0.3876903553299492,0,131,0,0,0,0.30218908629441626,0,145.8673835125448,1905,302,376,74,22,138,4,3,376,0,2444,0.07028098875594313,564,279,0.003626943005181347,0,112,3.92831541218638,74,210,205,1,97,247,201,4,0,251,343
Dessin,15,37,7,129,308,1225,4322,0.41647385469689957,0,158,5,0,0,0.32832022211938916,0,136.30612244897958,1419,254,349,95,23,130,8,8,349,0,1800,0.014812388543145176,544,196,0.005945303210463734,0,65,3.8979591836734695,95,218,208,5,21,191,198,5,0,236,344
Diabète (syndrome),13,1,0,5,43,180,494,0.4089068825910931,0,11,0,0,0,0.4291497975708502,0,196.0,212,20,26,6,3,9,0,1,26,0,202,0.02427781192378611,54,16,0.04452054794520548,0,6,5.4375,6,31,31,0,5,33,30,0,0,17,40
Dictature,15,4,1,29,124,727,1783,0.3656758272574313,0,53,0,0,0,0.4548513740886147,0,147.7375,811,100,142,42,6,56,2,0,142,0,652,0.04003183446080382,203,80,0.013250883392226149,0,34,4.8,42,67,66,0,27,72,66,1,0,89,122
Diego Vélasquez,15,121,25,266,917,2783,13553,0.4180624216040729,0,372,2,0,0,0.2384711871910278,0,141.35355285961873,3232,685,924,239,69,333,72,10,924,0,5666,0.0120870169385946,1447,577,0.001899696048632219,0,228,3.431542461005199,239,592,557,24,51,424,555,11,0,660,916
Dieu,15,29,7,118,659,2461,9871,0.381116401580387,0,220,1,0,0,0.28011346368149126,0,183.68154761904762,2765,481,672,192,42,306,5,10,673,0,3762,0.02332576172945876,1041,336,0.002454590083456063,0,150,5.473214285714286,191,411,403,1,71,468,393,6,0,389,713
Dimension,14,2,0,30,64,395,1257,0.3858392999204455,0,28,0,0,0,0.3834526650755768,0,157.86274509803923,482,59,84,25,8,36,0,1,84,0,485,0.11153427638737759,122,51,0.018134715025906734,0,19,4.215686274509804,25,46,46,0,26,54,45,0,0,49,83
Dinosauria,15,43,11,250,514,2623,10798,0.3792368957214299,0,281,1,0,0,0.2777366178922023,0,204.76111111111112,2999,604,742,139,47,277,6,9,743,0,4095,0.060805860805860805,994,360,0.0021837239772892706,0,201,4.85,138,299,293,1,145,360,278,4,0,493,559
Dioxyde de carbone,15,10,5,63,226,1353,4385,0.4152793614595211,0,98,0,0,0,0.3516533637400228,0,180.86754966887418,1542,199,266,67,14,111,3,8,266,0,1821,0.36476363887800495,386,151,0.005847953216374269,0,60,4.6490066225165565,67,134,132,0,119,158,121,2,0,162,242
Diplomatie,15,6,2,47,138,770,2359,0.39974565493853326,0,54,0,0,0,0.3793980500211954,0,161.5934065934066,895,98,142,44,9,58,2,0,142,0,943,0.023935995803003474,234,91,0.01058574453069866,0,30,3.4835164835164836,44,101,99,0,7,105,99,2,0,86,159
Discrimination,14,1,2,81,165,957,3072,0.3889973958333333,0,71,0,0,0,0.353515625,0,144.0,1086,150,207,57,16,80,2,3,207,0,1195,0.06474523460410557,310,140,0.007458710708577517,0,58,4.3428571428571425,57,119,114,2,36,132,114,3,0,134,197
Divinité,14,3,0,29,63,513,1263,0.3499604117181314,0,29,0,0,0,0.4639746634996041,0,124.01515151515152,586,53,73,20,9,28,1,0,73,0,442,0.05201590005678592,111,66,0.01705237515225335,0,17,5.378787878787879,20,47,47,0,28,49,47,0,0,47,74
Division,14,5,0,31,208,693,2959,0.3849273403176749,0,47,0,0,0,0.27238932071645827,0,143.9349593495935,806,113,200,88,12,113,2,1,201,0,1139,0.06008898194190002,340,123,0.007679648930334613,0,41,5.162601626016261,87,152,149,0,75,167,151,2,0,90,264
Djalâl ad-Dîn Rûmî,15,6,0,25,162,705,1716,0.3822843822843823,0,55,0,0,0,0.45046620046620045,0,110.45652173913044,773,112,145,33,7,41,6,2,145,0,656,0.06686545585976326,221,92,0.014150943396226415,0,49,4.086956521739131,33,83,81,0,37,75,81,2,0,108,124
Dmitri Mendeleïev,14,2,0,27,105,553,1448,0.4198895027624309,0,55,0,0,0,0.4350828729281768,0,137.8030303030303,630,86,113,27,8,32,3,0,113,0,608,0.04524325999380229,156,66,0.0166073546856465,0,26,3.4242424242424243,27,51,49,0,21,50,51,2,0,82,83
Dollar américain,14,8,2,41,117,674,1914,0.3955067920585162,0,58,0,0,0,0.39707419017763845,0,166.69565217391303,760,91,121,30,2,42,5,8,121,0,757,0.04818982387475538,198,69,0.012100259291270527,0,23,4.63768115942029,30,79,79,0,25,74,69,0,0,83,119
Domestication,15,21,7,228,391,1848,8035,0.39352831362787805,0,216,0,0,0,0.26720597386434347,0,167.32362459546925,2147,404,523,119,46,179,5,3,523,0,3162,0.024845880814496544,752,309,0.0030775543701272055,0,139,4.184466019417476,119,275,270,1,44,275,265,4,0,378,443
Don Quichotte,14,14,0,110,450,1777,5892,0.39137813985064496,0,178,1,0,0,0.33418194161575016,0,161.04954954954954,1969,334,464,130,22,193,15,10,464,0,2306,0.04340810496243784,731,222,0.0039040713887339654,0,100,4.684684684684685,130,289,283,1,119,307,278,5,0,287,475
Drame (théâtre),10,0,0,1,7,55,126,0.3888888888888889,0,5,0,0,0,0.6190476190476191,0,249.0,78,8,9,1,1,2,0,0,9,0,49,0.0,9,3,0.12987012987012986,0,2,7.666666666666667,1,1,1,0,0,2,1,0,0,7,3
Drogue,15,7,8,205,365,1870,7818,0.4049629061140957,0,180,1,0,0,0.2831926323867997,0,148.72699386503066,2214,361,496,135,38,199,8,8,497,0,3166,0.06467671180621781,731,326,0.0032216494845360823,0,126,3.4938650306748467,135,273,269,0,85,305,256,3,0,314,463
Droit,14,3,1,44,67,508,1643,0.40961655508216677,0,33,0,0,0,0.36640292148508824,0,125.04761904761905,602,62,86,24,7,31,0,0,86,0,673,0.05159857904085258,135,84,0.014418125643666324,0,24,3.5595238095238093,24,56,55,1,18,56,55,0,0,59,85
Droit de vote des femmes,15,16,2,154,356,1989,7777,0.39526809823839526,0,158,1,0,0,0.2893146457502893,0,120.60643564356435,2250,320,457,137,20,201,16,3,458,0,3074,0.09371736382124993,691,404,0.003188097768331562,0,105,3.5495049504950495,137,254,247,0,135,265,248,6,0,277,448
Droite (mathématiques),15,3,0,20,71,374,1251,0.3844924060751399,0,23,0,0,0,0.354916067146283,0,116.69117647058823,444,58,82,24,6,33,0,1,82,0,481,0.011523844550692657,118,68,0.019455252918287938,0,28,3.1176470588235294,24,42,41,0,7,46,41,1,0,51,73
Droits de l'homme,14,13,2,223,306,1691,7197,0.40725302209253855,0,232,0,0,0,0.27664304571349174,0,197.68558951965065,1991,364,490,126,23,167,7,6,490,0,2931,0.049160546736846486,673,229,0.0032817627754336614,0,94,5.096069868995633,126,206,205,0,95,214,198,1,0,336,370
Déesse,6,0,0,0,6,39,89,0.3707865168539326,0,0,0,0,0,0.5842696629213483,0,139.0,52,3,3,0,0,0,0,0,3,0,33,0.013793103448275862,6,5,0.10714285714285714,0,3,2.4,0,3,3,0,2,3,3,0,0,3,3
Déisme,14,4,0,22,109,604,1697,0.398939304655274,0,34,1,0,0,0.41072480848556275,0,180.48275862068965,697,76,108,32,10,50,2,2,108,0,677,0.032281664380429814,171,58,0.0136986301369863,0,23,4.896551724137931,32,73,72,1,9,82,70,0,0,61,124
Démocratie,15,29,8,133,449,1605,6886,0.41344757478942784,0,137,0,0,0,0.26982282892826026,0,186.83760683760684,1858,373,553,180,21,230,9,6,553,0,2847,0.3780503259782869,791,234,0.003711952487008166,0,189,4.858974358974359,180,259,251,0,85,258,245,8,0,336,486
Démonstration (logique et mathématique),14,2,3,18,80,415,1255,0.40398406374501994,0,20,0,0,0,0.4,0,155.77777777777777,502,56,84,28,16,40,1,1,84,0,507,0.028330868130617817,122,54,0.01871657754010695,0,25,4.12962962962963,28,54,53,0,7,61,50,1,0,46,93
Dérive génétique,13,0,0,16,45,317,865,0.3953757225433526,0,19,0,0,0,0.446242774566474,0,155.66666666666666,386,33,53,20,2,23,1,1,53,0,342,0.08776723999357017,82,36,0.0248565965583174,0,10,4.5,20,31,31,0,14,32,30,0,0,31,55
Désert,14,8,4,158,250,1534,5285,0.3941343424787133,0,138,0,0,0,0.32639545884578997,0,181.94505494505495,1725,249,321,72,16,108,5,7,321,0,2083,0.07937863221968215,500,182,0.004365450576863112,0,78,4.818681318681318,72,195,191,0,98,209,184,4,0,222,300
E (nombre),14,7,1,23,79,511,1554,0.4034749034749035,0,27,0,0,0,0.3886743886743887,0,155.1904761904762,604,58,96,39,7,56,2,1,97,0,627,0.04056539839287443,151,63,0.015037593984962405,0,16,4.333333333333333,38,62,59,0,14,66,60,2,0,44,115
Eau,14,6,4,129,299,1817,6617,0.40456400181351065,0,110,0,0,0,0.3110170772253287,0,161.24193548387098,2058,258,361,103,22,135,2,3,361,0,2677,0.08315970649515354,541,248,0.0035496957403651115,0,119,4.612903225806452,103,202,199,1,111,217,195,2,0,235,334
Eau potable,14,2,4,97,110,993,2972,0.382907133243607,0,69,0,0,0,0.38122476446837145,0,157.344,1133,146,203,58,17,81,2,1,204,0,1138,0.2499153912683789,271,125,0.007633587786259542,0,57,5.008,57,85,82,0,89,96,80,2,0,130,162
Edgar Allan Poe,15,39,9,127,641,2598,9010,0.383795782463929,0,257,0,0,0,0.32297447280799113,0,119.4978354978355,2910,449,603,154,27,213,10,6,603,0,3458,0.07067906358957331,954,462,0.002699298182472557,0,138,4.688311688311688,154,378,371,1,141,368,363,6,0,410,586
Elvis Presley,15,11,1,144,543,1994,7517,0.3843288545962485,0,217,0,0,0,0.29360117067979247,0,118.05699481865285,2207,402,555,153,17,200,15,14,555,0,2889,0.02263640017770632,870,386,0.003238341968911917,0,139,3.683937823834197,153,332,328,0,44,337,317,4,0,371,531
Emmanuel Kant,15,13,3,57,254,1402,4635,0.39978425026968717,0,83,0,0,0,0.33872707659115425,0,131.2760180995475,1570,248,357,109,17,205,6,4,357,0,1853,0.0690745777721551,499,221,0.005387931034482759,0,70,4.3031674208144794,109,159,158,0,85,230,152,1,0,158,363
Empire britannique,15,76,7,182,522,2164,8834,0.4227982793751415,0,237,2,0,0,0.27552637536789676,0,191.01328903654485,2434,443,611,168,24,216,5,12,612,0,3735,0.013148930371985284,896,301,0.0029405998823760046,0,165,4.571428571428571,168,309,300,2,34,228,288,6,0,443,518
Empire byzantin,15,39,10,583,1401,4369,26145,0.399273283610633,0,549,0,0,0,0.19338305603365843,0,159.30127576054957,5056,1128,1624,498,113,696,15,27,1626,0,10439,0.022010981591793082,2567,1019,0.000954988221811931,0,399,3.719332679097154,496,1056,1042,0,175,1144,1019,12,0,984,1732
Empire mongol,14,9,2,94,199,1161,3602,0.39922265408106605,0,116,0,0,0,0.35424764019988897,0,138.85806451612902,1276,195,256,61,9,85,1,4,256,0,1438,0.026856734292608812,369,155,0.006466512702078522,0,58,4.051612903225807,61,122,122,0,40,128,116,0,0,179,204
Empire ottoman,14,4,0,29,71,466,1165,0.39399141630901285,0,32,1,0,0,0.47639484978540775,0,173.25,555,62,75,13,2,26,1,2,75,0,459,0.8048189415041783,124,40,0.019830028328611898,0,18,4.075,13,51,49,0,79,55,48,2,0,53,76
Empire russe,15,21,1,140,294,1615,5277,0.4057229486450635,0,125,0,0,0,0.3492514686374834,0,154.1917808219178,1843,250,351,101,12,133,10,9,351,0,2141,0.04059558926815564,555,219,0.004778591908251036,0,95,4.319634703196347,101,216,215,1,57,205,206,0,0,230,347
Emploi,13,0,0,13,34,223,575,0.43826086956521737,0,18,0,0,0,0.4765217391304348,0,151.83333333333334,274,26,41,15,5,16,1,1,41,0,252,0.04038312192596428,58,24,0.04024767801857585,0,7,4.458333333333333,15,22,22,0,6,21,21,0,0,26,38
Enfant,14,0,0,40,92,756,1960,0.39183673469387753,0,45,0,0,0,0.425,0,188.65671641791045,833,90,115,25,8,48,7,1,115,0,768,0.09996494917630565,172,67,0.01174496644295302,0,26,5.567164179104478,25,65,64,0,30,74,64,1,0,74,109
Ensemble,14,7,6,41,147,481,2043,0.37395986294664707,0,71,0,0,0,0.2941752325012237,0,148.9277108433735,601,96,143,47,24,56,3,2,143,0,764,0.056502715751357874,220,83,0.010903426791277258,0,13,6.096385542168675,47,101,98,0,19,96,93,3,0,91,160
Entier naturel,14,3,5,38,125,599,2139,0.37681159420289856,0,61,0,0,0,0.3291257597007948,0,134.4747474747475,704,98,132,35,13,49,1,1,133,0,806,0.06218801996672213,199,99,0.010494752623688156,0,21,3.6464646464646466,34,80,76,0,27,85,74,3,0,88,130
Entier relatif,13,0,1,23,38,256,737,0.378561736770692,0,25,0,0,0,0.412483039348711,0,141.0,304,38,45,7,4,14,2,0,45,0,279,0.03750493485984998,71,34,0.028384279475982533,0,6,4.4411764705882355,7,30,28,0,22,34,29,2,0,32,44
Entreprise,15,8,3,131,255,1415,5333,0.3900243765235327,0,80,0,0,0,0.30395649728108004,0,163.47747747747746,1621,240,360,120,29,169,5,9,360,0,2080,0.13728435629620936,526,222,0.004608294930875576,0,114,4.572072072072072,120,195,191,0,113,222,183,4,0,200,361
Esclavage,15,39,7,169,464,2590,9062,0.37453100860737143,0,212,2,0,0,0.32310748179209886,0,182.76452599388378,2928,410,517,107,40,181,12,13,517,0,3394,0.04866628830874007,774,327,0.002644569816643159,0,129,5.89908256880734,107,297,290,2,112,301,275,5,0,355,473
Espace (cosmologie),11,0,0,5,25,158,360,0.3388888888888889,0,6,0,0,0,0.49722222222222223,0,87.20689655172414,179,19,24,5,2,10,0,0,24,0,122,0.14640438568203806,38,29,0.046218487394957986,0,8,3.2758620689655173,5,16,16,0,24,21,16,0,0,14,26
Espace (notion),12,1,1,22,72,366,1099,0.3848953594176524,0,32,0,0,0,0.38580527752502275,0,128.6,424,48,60,13,7,16,0,1,61,0,423,0.10923535253227408,103,55,0.017699115044247787,0,13,3.8545454545454545,12,50,48,0,24,50,48,1,0,46,65
Espagne,15,17,4,156,442,2309,8240,0.3933252427184466,0,208,4,0,0,0.32148058252427186,0,226.6468085106383,2649,424,528,104,28,192,11,6,528,0,3241,0.2244137153756123,762,235,0.002999400119976005,0,135,6.4425531914893615,104,262,253,2,164,299,248,7,0,359,447
Espagnol,14,12,0,57,217,1107,3394,0.34236888626988804,0,111,0,0,0,0.36829699469652327,0,171.6875,1250,204,263,59,13,99,9,1,263,0,1162,0.17232142857142857,360,128,0.0062724014336917565,0,54,6.0625,59,110,107,0,148,121,109,3,0,172,208
Esprit,14,8,0,20,116,543,1540,0.39935064935064934,0,65,0,0,0,0.40454545454545454,0,161.85,623,99,119,20,8,34,1,1,119,0,615,0.07855805243445693,162,60,0.01511879049676026,0,21,5.6,20,51,51,0,34,53,50,0,0,88,84
Espèce,14,5,1,81,181,892,3351,0.3888391524917935,0,74,0,0,0,0.3112503730229782,0,144.74825174825176,1043,137,207,70,19,86,6,2,207,0,1303,0.09596722018546475,329,143,0.006819288845591817,0,48,3.6713286713286712,70,141,135,0,67,138,138,6,0,129,226
Essence (hydrocarbure),15,11,1,64,136,859,2649,0.39184597961494905,0,88,2,0,0,0.3737259343148358,0,191.52325581395348,990,152,207,55,12,87,4,0,207,0,1038,0.1072788714262726,275,86,0.009305210918114143,0,35,4.872093023255814,55,80,77,2,54,92,77,1,0,125,164
Esthétique,14,11,1,96,388,1665,6658,0.4100330429558426,0,123,0,0,0,0.2808651246620607,0,148.84859154929578,1870,278,363,85,34,126,9,9,363,0,2730,0.07979491156638445,576,284,0.003564154786150713,0,116,4.559859154929577,85,247,241,0,186,257,237,6,0,248,371
Euclide,15,6,2,60,177,699,2776,0.4128242074927954,0,105,0,0,0,0.30439481268011526,0,138.48275862068965,845,167,202,35,13,57,2,3,202,0,1146,0.06869182892708274,281,116,0.009191176470588236,0,43,3.310344827586207,35,92,90,0,30,95,87,2,0,156,146
Eukaryota,12,2,3,19,35,284,598,0.3511705685618729,0,13,0,0,0,0.5501672240802675,0,157.25925925925927,329,38,45,7,3,14,1,0,45,0,210,0.11999186495830791,65,27,0.030927835051546393,0,18,4.481481481481482,7,23,22,0,14,27,20,1,0,31,37
Euro,15,21,10,106,349,1363,5573,0.3960165081643639,0,154,0,0,0,0.28727794724564865,0,207.09467455621302,1601,280,386,106,25,154,13,5,386,0,2207,0.10061711151179623,584,169,0.004455004455004455,0,84,6.579881656804734,106,223,220,0,100,227,208,3,0,242,371
Europe,15,3,5,118,212,1269,4377,0.4000456933973041,0,83,0,0,0,0.32716472469728125,0,148.3031914893617,1432,200,250,50,14,92,2,2,250,0,1751,0.6544950001222464,408,188,0.005707762557077625,0,76,4.547872340425532,50,172,171,0,198,203,165,1,0,164,263
Everest,15,17,11,205,671,2302,8769,0.38408028281446005,0,295,1,0,0,0.29022693579655606,0,139.05583756345177,2545,540,725,185,22,271,10,11,725,0,3368,0.010892857142857143,1125,394,0.0027767493520918177,0,162,4.309644670050761,185,422,412,2,25,458,399,8,0,477,690
Existence,15,3,1,20,101,417,1242,0.3856682769726248,0,27,0,0,0,0.38808373590982287,0,141.64912280701753,482,66,98,32,10,44,0,1,98,0,479,0.03453559641678453,155,57,0.01963350785340314,0,27,5.666666666666667,32,67,67,0,12,70,65,0,0,60,111
Explosif,14,1,0,37,84,501,1448,0.38328729281767954,0,44,0,0,0,0.4046961325966851,0,144.28358208955223,586,84,120,36,7,60,4,1,120,0,555,0.09102694693953144,174,67,0.015659955257270694,0,18,3.8208955223880596,36,61,60,0,29,76,60,1,0,64,119
Exponentiation,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,201.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0
Extinction des espèces,14,10,10,132,263,1459,4791,0.36839908161135465,0,125,0,0,0,0.35107493216447505,0,189.95294117647057,1682,277,377,100,23,148,7,10,377,0,1765,0.08024604271888491,520,170,0.004625041295011563,0,108,5.305882352941176,100,166,158,1,61,185,146,7,0,241,310
Famille,14,9,0,57,110,895,2504,0.37859424920127793,0,47,0,0,0,0.40934504792332266,0,176.27083333333334,1025,112,149,37,6,67,1,0,149,0,948,0.05155782237498614,228,96,0.008997429305912597,0,37,5.958333333333333,37,85,85,0,44,101,85,0,0,86,150
Fascisme,15,21,2,129,413,2203,7013,0.36731783830029946,0,206,1,0,0,0.35134749750463423,0,180.6496062992126,2464,377,507,130,33,190,7,5,507,0,2576,0.047519217330538085,699,254,0.0033783783783783786,0,115,5.562992125984252,130,225,219,1,62,241,217,5,0,333,411
Femelle,13,0,1,4,34,175,431,0.37354988399071926,0,13,0,0,0,0.4895591647331787,0,133.38095238095238,211,24,27,3,1,9,0,1,27,0,161,0.12461726883037355,46,21,0.04814814814814815,0,5,4.0,3,20,17,0,11,24,18,3,0,20,29
Femme,14,13,1,190,291,1959,6827,0.40735315658415117,0,135,0,0,0,0.3270836384942141,0,151.87455197132616,2233,303,392,89,26,145,7,7,392,0,2781,0.029097481079859936,600,279,0.003458498023715415,0,117,4.064516129032258,89,234,228,0,43,255,226,6,0,262,374
Fer,14,1,4,49,214,1118,3735,0.4002677376171352,0,85,1,0,0,0.34431057563587686,0,151.5562913907285,1286,170,231,61,21,99,3,0,231,0,1495,0.07469889128180586,341,151,0.00625,0,49,4.397350993377484,61,131,126,0,118,156,126,5,0,141,228
Fernand de Magellan,15,17,2,99,295,1439,4325,0.37780346820809246,0,153,1,0,0,0.3720231213872832,0,150.98857142857142,1609,254,353,99,15,138,10,6,353,0,1634,0.03820119536256931,517,175,0.0055534987041836355,0,67,4.177142857142857,99,179,175,0,36,174,170,4,0,232,312
Feu,14,5,0,32,112,755,1975,0.4050632911392405,0,57,0,0,0,0.4258227848101266,0,169.04166666666666,841,94,144,50,14,67,0,0,144,0,800,0.1146364223673821,197,72,0.011914893617021277,0,23,4.736111111111111,50,67,67,0,35,74,67,0,0,82,131
Fiction,14,6,1,32,97,640,1731,0.3824378971692663,0,39,0,0,0,0.4217215482380127,0,168.828125,730,71,115,44,9,52,2,2,115,0,662,0.08544648087706085,172,64,0.013096351730589336,0,23,5.328125,44,66,62,1,29,63,63,3,0,66,119
Finance,13,2,3,54,63,721,1966,0.39420142421159715,0,43,0,0,0,0.41759918616480163,0,204.7076923076923,821,82,131,49,7,63,0,0,131,0,775,0.05618686868686869,173,65,0.010906040268456376,0,26,5.153846153846154,49,49,48,0,18,60,46,1,0,69,111
Fiodor Dostoïevski,15,7,4,60,256,1384,3752,0.38113006396588484,0,86,0,0,0,0.4021855010660981,0,116.78947368421052,1509,187,269,82,18,118,7,5,269,0,1430,0.050049781726277096,416,209,0.006448839208942391,0,70,4.119617224880383,82,165,159,0,56,175,156,6,0,163,278
Fleur,14,5,0,35,70,516,1424,0.41292134831460675,0,32,0,0,0,0.4143258426966292,0,145.4126984126984,590,75,93,18,3,36,0,0,93,0,588,0.06488011283497884,138,63,0.01674641148325359,0,30,3.7777777777777777,18,48,47,0,25,52,48,1,0,66,79
Fleuve,13,0,2,22,28,274,656,0.38871951219512196,0,15,0,0,0,0.4923780487804878,0,193.04545454545453,323,28,37,9,3,15,1,0,37,0,255,0.05789818658509941,62,22,0.032418952618453865,0,8,5.818181818181818,9,28,27,0,17,31,26,1,0,24,42
Foie,13,0,2,59,208,791,3007,0.39807116727635516,0,53,0,0,0,0.29664117060192885,0,146.12781954887217,892,106,138,32,8,48,3,3,138,0,1197,0.07563537466003939,307,133,0.0071823204419889505,0,38,3.6240601503759398,32,177,175,1,61,186,172,1,0,94,224
Fonction (mathématiques),14,2,0,30,68,386,1439,0.4086170952050035,0,16,0,0,0,0.3293954134815844,0,185.47916666666666,474,60,90,30,14,38,1,2,90,0,588,0.04479830148619957,122,48,0.01645123384253819,0,36,3.5416666666666665,30,46,46,0,10,51,44,0,0,52,84
Fonds monétaire international,15,31,5,128,311,1543,6294,0.4018112488083889,0,189,0,0,0,0.2861455354305688,0,168.41666666666666,1801,312,456,144,15,194,5,6,456,0,2529,0.03996929248904187,618,228,0.003983005841741901,0,79,4.175438596491228,144,177,171,1,46,177,166,5,0,276,365
Football,15,35,16,453,844,3471,17176,0.38740102468560783,0,432,0,0,0,0.23311597578015836,0,150.2839160839161,4004,830,1117,288,72,442,18,14,1118,0,6654,0.04524659968680168,1667,715,0.0014246367176370025,0,262,3.788811188811189,287,622,610,0,287,673,592,11,0,725,1045
Force (physique),14,2,2,54,163,717,2897,0.4190541939937867,0,38,0,0,0,0.28788401794960305,0,148.16260162601625,834,102,156,54,10,66,2,3,156,0,1214,0.12131303520456709,273,123,0.008318478906714201,0,54,4.357723577235772,54,127,125,0,59,131,122,2,0,94,191
Forme (géométrie),12,0,0,4,15,70,145,0.3586206896551724,0,3,0,0,0,0.6413793103448275,0,139.0,93,8,8,0,4,0,0,0,8,0,52,0.05502846299810247,15,7,0.1276595744680851,0,5,3.2857142857142856,0,11,11,0,2,11,11,0,0,8,11
Forêt,15,21,7,200,384,2249,8125,0.3848615384615385,0,183,2,0,0,0.3166769230769231,0,187.8,2573,378,496,119,30,180,9,13,497,0,3127,0.421830478407894,734,275,0.002997601918465228,0,142,6.2327272727272724,118,268,256,2,232,280,246,9,0,335,439
Fraction (mathématiques),14,9,1,43,136,508,2078,0.38931665062560156,0,31,1,0,0,0.28873917228103946,0,149.86206896551724,600,84,128,45,5,59,10,3,129,0,809,0.02989229980218331,233,87,0.011023622047244094,0,42,5.758620689655173,44,110,99,1,13,98,105,9,0,76,165
Fracture,14,2,0,27,114,626,1812,0.40397350993377484,0,29,0,0,0,0.3841059602649007,0,141.98765432098764,696,67,132,65,6,80,3,2,132,0,732,0.11987381703470032,215,81,0.012962962962962963,0,24,4.530864197530864,65,89,88,0,45,96,87,1,0,55,168
France,14,40,11,343,772,3620,16012,0.40419685236072944,0,361,1,0,0,0.2581189108168873,0,187.08,4133,694,839,147,39,235,8,13,841,0,6472,0.2784756478843882,1311,550,0.001467197652483756,0,249,5.592727272727273,145,511,500,1,313,533,486,8,0,622,740
Franz Kafka,14,11,2,68,341,1413,4054,0.37296497286630487,0,180,0,0,0,0.3823384311790824,0,129.03108808290156,1550,267,327,60,20,87,6,1,327,0,1512,0.0434865100747543,476,193,0.0055074744295830055,0,66,5.046632124352332,60,169,166,1,61,167,166,2,0,252,250
Français,15,29,18,222,483,2325,10278,0.38908347927612374,0,231,0,0,0,0.2626970227670753,0,184.50422535211268,2700,433,596,163,60,249,14,11,596,0,3999,0.13040504997369806,894,355,0.0023873945567404104,0,127,4.985915492957746,163,358,349,0,181,372,329,9,0,376,596
Friedrich Nietzsche,15,8,3,43,266,1204,3351,0.38675022381378693,0,85,0,0,0,0.39092808116980005,0,137.1578947368421,1310,175,253,78,12,109,3,5,253,0,1296,0.04251646604587781,406,152,0.007292173067574137,0,62,4.743421052631579,78,165,160,0,27,172,157,5,0,157,271
Fromage,14,53,3,154,349,1631,5627,0.398080682424027,0,193,0,0,0,0.3305491380842367,0,150.09166666666667,1860,312,429,118,33,157,5,3,430,0,2240,0.393159977388355,627,240,0.004131012097964001,0,90,4.15,117,231,227,0,224,191,225,3,0,293,377
