,Tense : ['Pres'],Mood : ['Imp'],ratio_stem,POS : NOUN,Person : [],POS : AUX,nb_phrase,POS : SPACE,Tense : ['Fut'],sect 4,POS : PROPN,sect 1,POS : DET,Number : [],n_stop,Mood : ['Ind'],POS : VERB,mean_par,POS : PRON,Person : ['3'],Mood : ['Cnd'],VerbForm : ['Inf'],POS : X,Person : ['1'],Tense : [],n_par,Mood : [],ratio_stop,POS : ADP,Gender : [],lg_phrase,n_stem,POS : SCONJ,Gender : ['Fem'],n_pos,POS : PUNCT,Tense : ['Past'],sect 5,Voice : [],Person : ['2'],sect 0,POS : INTJ,Gender : ['Masc'],nb_mot,Mood : ['Sub'],POS : CCONJ,VerbForm : ['Part'],Tense : ['Imp'],sect 6,n_paragraphe,n_tok,ratio_tok,Number : ['Sing'],sect 2,punct,sect 3,POS : ADJ,Number : ['Plur'],POS : ADV,POS : SYM,POS : NUM,Voice : ['Pass'],VerbForm : ['Fin'],lab_y
athlétisme,440,2,0.0019457956914523975,0.28811674774148716,849,0.01584433634468381,518,0.0,12,0,0.024461431549687284,16,0.01931897150799166,321,4600,380,0.17303683113273105,0.018748522963001866,0.011118832522585128,382,8,227,0.014037526059763725,12,227,81,849,0.39006190112778766,0.03432939541348158,710,142.82625482625483,2628,0.0018068102849200835,214,14,0.004864489228630994,554,0,1196,2,1,0.0,321,11793,6,0.003613620569840167,622,12,0,13,3039,0.25769524294072754,622,28,3.606177606177606,12,0.2815844336344684,302,0.07797081306462822,0.0,0.049895760945100766,49,396,0
jouet,115,0,0.007045561296383279,0.3006106153123532,292,0.028182245185533115,170,0.0004697040864255519,4,0,0.015500234852043212,7,0.024424612494128698,109,1514,100,0.18694222639736965,0.02585407001265289,0.012212306247064349,104,3,81,0.006575857209957727,2,81,17,292,0.4158198297171107,0.0371066228276186,211,134.13529411764705,1129,0.0028182245185533112,65,15,0.0028182245185533112,192,0,374,0,1,0.0,122,3641,3,0.0023485204321277596,211,6,0,7,1279,0.3512771216698709,111,19,3.5647058823529414,2,0.26914044152184124,178,0.09206200093940817,0.0,0.018788163457022077,24,106,0
vêtement,69,0,0.011914893617021277,0.2578723404255319,139,0.02297872340425532,88,0.0,3,0,0.022127659574468085,8,0.015319148936170212,66,736,69,0.17957446808510638,0.054435636089090224,0.011914893617021277,68,2,50,0.01702127659574468,4,50,25,139,0.3857442348008386,0.02893617021276596,137,140.48863636363637,763,0.003404255319148936,29,14,0.005106382978723404,75,0,200,0,1,0.0,45,1908,1,0.002553191489361702,89,14,0,13,873,0.45754716981132076,81,14,4.590909090909091,0,0.2902127659574468,64,0.12340425531914893,0.0,0.01957446808510638,11,72,0
cuisine,149,0,0.006195786864931847,0.2945064023130938,318,0.0161090458488228,161,0.0004130524576621231,4,0,0.01569599339116068,7,0.023130937629078894,128,1582,124,0.18587360594795538,0.08136639427629502,0.012391573729863693,130,5,93,0.006195786864931847,2,93,57,318,0.39540114971257184,0.020239570425444033,254,160.583850931677,1282,0.0008261049153242462,68,15,0.017761255679471292,197,0,430,0,1,0.0,128,4001,3,0.0028913672036348617,225,7,0,17,1448,0.36190952261934517,198,24,4.968944099378882,3,0.3077240809582817,124,0.0859149111937216,0.0,0.010326311441553077,20,132,0
couleur,341,3,0.0033982782057091075,0.2942908926144087,471,0.015632079746261893,353,0.0006796556411418215,7,0,0.010647938377888537,11,0.021975532396918896,210,3092,291,0.17603081105573176,0.013885312469050212,0.016311735387403714,300,9,148,0.00475758948799275,3,148,46,470,0.41221170510598587,0.026959673765292253,513,139.1643059490085,1630,0.005210693248753965,129,15,0.0020389669234254643,270,0,755,3,1,0.0,135,7501,4,0.0015858631626642502,322,11,0,18,1920,0.25596587121717107,367,26,3.781869688385269,7,0.32532850022655185,200,0.07498867240598096,0.0,0.023561395559583146,22,307,0
émotion,94,0,0.008674101610904586,0.32094175960346966,166,0.022304832713754646,130,0.0006195786864931846,7,0,0.014250309789343246,10,0.02664188351920694,79,1079,86,0.15923172242874845,0.06040494938132734,0.014250309789343246,87,4,62,0.05514250309789343,4,62,48,166,0.4008172362555721,0.027881040892193308,170,126.93846153846154,812,0.0012391573729863693,37,14,0.012391573729863693,89,0,250,0,1,0.0,50,2692,1,0.0,104,5,0,4,959,0.3562407132243685,128,5,3.2384615384615385,0,0.2552664188351921,50,0.06815365551425032,0.0,0.02168525402726146,7,91,0
colère,125,0,0.008450704225352112,0.29352112676056336,234,0.021971830985915493,129,0.0005633802816901409,2,0,0.010140845070422535,8,0.018591549295774647,99,1265,109,0.19492957746478873,0.03603372057160481,0.017464788732394366,108,1,75,0.0067605633802816905,4,75,32,234,0.4165294698715838,0.041690140845070424,212,143.71317829457365,1026,0.003943661971830986,59,15,0.02028169014084507,140,0,332,0,1,0.0,75,3037,2,0.004507042253521127,159,4,0,14,1136,0.3740533421139282,214,14,4.7984496124031,3,0.27211267605633804,33,0.06985915492957746,0.0,0.023661971830985916,14,112,0
peur,127,0,0.00841852074564041,0.3042693926638605,230,0.020444978953698137,121,0.0,5,0,0.00661455201443175,9,0.030667468430547205,109,1071,109,0.20685508117859291,0.042116331839061376,0.0132291040288635,110,0,80,0.009019843656043296,3,80,9,230,0.3920204978038067,0.035478051713770296,222,141.34710743801654,911,0.004209260372820205,65,14,0.007817197835237523,129,0,321,1,1,0.0,57,2732,5,0.004209260372820205,150,3,0,9,1066,0.390190336749634,173,11,3.809917355371901,0,0.24954900781719783,62,0.10342754058929646,0.0,0.004209260372820205,23,114,0
amour,285,0,0.004261363636363636,0.25823863636363636,479,0.022443181818181817,240,0.0005681818181818182,11,0,0.02130681818181818,10,0.025852272727272727,240,2134,226,0.2028409090909091,0.06871702483592845,0.024147727272727272,228,5,153,0.013068181818181817,6,153,81,479,0.37763227747301364,0.040625,470,149.09166666666667,1659,0.005965909090909091,102,15,0.020454545454545454,248,0,691,1,1,0.0,142,5651,4,0.003125,326,17,0,31,1878,0.3323305609626615,366,23,5.5375,8,0.2622159090909091,108,0.08522727272727272,0.0,0.013920454545454545,23,235,0
bonheur,600,0,0.0017339608620262571,0.28201634877384196,908,0.019445132524151598,359,0.0,22,6,0.02278919990091652,7,0.020807530344315085,402,4797,516,0.17996036660886797,0.15707100058115067,0.02415159772108001,536,11,278,0.011023036908595492,9,278,159,908,0.3726983140393132,0.032325984642060934,947,232.71030640668525,3272,0.004087193460490463,228,14,0.019568986871439188,525,0,1408,0,1,0.0,278,12871,18,0.006688134753529849,630,28,0,63,3609,0.2803977934892394,770,20,8.069637883008356,39,0.24721327718602923,281,0.0873173148377508,0.0,0.04260589546693089,45,545,0
famille,101,0,0.008997429305912597,0.3149100257069409,149,0.011568123393316195,96,0.0,1,0,0.010925449871465296,7,0.014781491002570694,67,948,85,0.15038560411311053,0.05155782237498614,0.010925449871465296,85,0,37,0.006426735218508998,0,37,44,149,0.37859424920127793,0.027634961439588688,150,176.27083333333334,895,0.003213367609254499,37,14,0.005141388174807198,86,0,228,0,1,0.0,47,2504,0,0.002570694087403599,112,9,0,6,1025,0.40934504792332266,110,11,5.958333333333333,10,0.35411311053984573,57,0.061696658097686374,0.0,0.02570694087403599,6,85,0
adulte,43,0,0.027777777777777776,0.2777777777777778,57,0.023148148148148147,26,0.0,0,0,0.03009259259259259,4,0.020833333333333332,29,257,37,0.2175925925925926,0.08729838709677419,0.013888888888888888,37,0,23,0.032407407407407406,0,23,16,57,0.37300435413642963,0.02546296296296296,66,171.34615384615384,323,0.0023148148148148147,13,12,0.0,28,0,86,0,1,0.0,15,689,0,0.0,34,0,0,4,374,0.5428156748911466,52,5,6.5,0,0.2523148148148148,13,0.06944444444444445,0.0,0.034722222222222224,8,37,0
